#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
62.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 2.17e+03 559 5.58e+05 305 747
63.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 2.17e+03 570 5.68e+05 305 754
64.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 2.17e+03 578 5.66e+05 305 752
65.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
66.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
67.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
68.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
69.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
70.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
71.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 4.98e+143 2.17e+142 1.08e+286 17.7 1.04e+143 2.17e+03 578 5.66e+05 305 752
